PLAYER,GAMES,GOALS ,ASSISTS,G/A,GOALS PER GAME ,ASSISTS PER GAME ,G/A per game
Bruno Fernandes ,37,9,22,31,0.24,0.59,0.84
Dominik Szoboszlai,53,13,12,25,0.25,0.23,0.47
Jamal Musiala,24,5,6,11,0.21,0.25,0.46
Cole Palmer,34,11,3,14,0.32,0.09,0.41
Florian Wirtz,49,7,10,17,0.14,0.20,0.35
Jude Bellingham,40,8,5,13,0.20,0.13,0.33
Xavi Simons*,43,6,7,13,0.14,0.16,0.30
Martin Odegaard ,36,1,8,9,0.03,0.22,0.25
Bernando Silva ,53,3,5,8,0.06,0.09,0.15
